scenario,year,added_water_m,water_level_egm2008_m,uniform_dem_offset_m,baseline_area_km2,continued_trend_area_km2,subsidence_added_area_km2
SSP5-8.5,2100,0.0,1.732469235,0.5,399.985128728298,684.1333433691882,284.14821464089016
SSP5-8.5,2100,1.5,3.232469235,0.5,862.1347165787724,963.6322177245838,101.49750114581131
SSP5-8.5,2100,3.0,4.732469235,0.5,1114.675992692281,1160.6084025461882,45.93240985390734
SSP2-4.5,2050,0.0,1.138469235,1.0,60.877479159761265,245.87745769921023,184.999978539449
SSP2-4.5,2050,1.5,2.638469235,1.0,543.5229747668598,663.7614255414613,120.2384507746016
SSP2-4.5,2050,3.0,4.1384692350000005,1.0,946.118649135339,977.0662361787117,30.947587043372838
SSP2-4.5,2100,0.0,1.515469235,1.0,144.2648085473278,514.3157661966845,370.05095764935675
SSP2-4.5,2100,1.5,3.0154692350000003,1.0,657.343110435515,845.5872256732038,188.2441152376889
SSP2-4.5,2100,3.0,4.515469235,1.0,1012.753787329356,1073.7814145372972,61.02762720794117
SSP5-8.5,2050,0.0,1.167469235,1.0,65.89107218673504,251.4737293894926,185.58265720275756
SSP5-8.5,2050,1.5,2.667469235,1.0,554.6946467159473,670.0479602914165,115.35331357546912
SSP5-8.5,2050,3.0,4.167469235,1.0,950.8949074243033,981.4203694415766,30.52546201727337
SSP5-8.5,2100,0.0,1.732469235,1.0,233.65663743113953,551.8400000315265,318.183362600387
SSP5-8.5,2100,1.5,3.232469235,1.0,735.4936422330638,884.9706056008542,149.4769633677904
SSP5-8.5,2100,3.0,4.732469235,1.0,1047.1379428522837,1103.7153919394382,56.577449087154406
